theme;author;views;messages;timestamp;last_editor
Выставление оценок зачёта по ФИ декабрь 2022 ...;zzz;1716;1;1673784180;zzz
Программа экзамена по  архитектуре компьютеров и информационных систем;IvanB;2939;2;1672315380;zzz
Расписание рейтингового зачёта на 24 и 26-28 декабря 2022;zzz;2808;2;1672117680;zzz
Вопросы к рейтинговому зачёту по курсу ФИ, осень 2022;zzz;7723;13;1672002720;zzz
Бонусы и штрафы за осенние олимпиады I курса (2022 г.);zzz;2066;1;1671779400;zzz
Зачёт по ФИ;Матвей Петров;2008;2;1671728880;zzz
Пересдача ЯМП за II семестр: даты и оценки;zzz;27385;19;1670011860;EgorCH
Материалы к ЛР № 6 (восстановлено);zzz;6567;2;1664809560;zzz
Материалы к ЛР № 1-2 (2022 г.);zzz;41952;13;1663085220;zzz
Джентльменский набор на первое лабораторное занятие;zzz;4118;5;1662912420;zzz
Расписание ЛР на 1 курсе на осенний семестр 2022/23 учебного года;zzz;2046;1;1662314940;zzz
Исправления в отчётах по практике;VVZlobina;1812;2;1657724760;zzz
Практика 806;faq_666;4942;6;1655402940;zzz
Летняя практика по олимпиадному программированию в семестре;aps;2288;2;1655402940;zzz
Результаты зачета;MarkovIlya;4227;4;1655402940;zzz
Оценки за рейтинговый зачёт по ЯМП июнь 2022 г.;zzz;17341;1;1655219160;zzz
Шутки в сторону;pzh;3977;3;1654287060;pzh
Пятикратно исправленный график сдачи письменного рейтингового зачёта по ЯМП в июне 2022 г.;zzz;4345;1;1653851400;zzz
Бонусы за олимпиады, 1 курс, весна 2022;zzz;2134;1;1653815520;zzz
Консультация к рейтинговому зачёту по ЯМП 25 мая 2022 г.;zzz;1467;1;1653412080;zzz
Будем сдавать в субботу!;zzz;14364;18;1651943280;zzz
Перенос пересдачи с 16 на 23 апреля 2022 г.;zzz;2073;2;1650186720;zzz
Пересдача экзамена по ФИ с продлением на 2-3 дня с 9 февраля;zzz;5047;7;1646982600;zzz
Наш корреспондент Зайцев В.Е. передаёт из Долгопрудного:;zzz;2048;1;1646723400;zzz
Внезапно: очные лекции со 2 марта;zzz;1400;1;1646128860;zzz
Программа передач на 9 февраля;zzz;2612;3;1644552420;zzz
Процесс проверки экзамена по Фундаментальной информатике.;lifeEnjoyer;9758;14;1643562480;zzz
Все оценки за экзамены 105, 103, 106, 108, 111, 113, 102, 112, 104 и 109 гр.;zzz;7241;1;1643198580;zzz
Окончание проверки 19 января 2022 г.;zzz;1912;1;1642597440;zzz
Кабинет на завтрашний экзамен;DaDa;3069;4;1642597440;zzz
Повышение оценки за экзамен с помощью бонусных баллов;-;2706;2;1642273800;zzz
221B;zzz;3851;5;1642208640;pzh
Список сдающих рейтинг по ВС на 5;zzz;8083;11;1641740760;zzz
Фундаментальная информатика: экзаменационная программа 2021 г. и раньше;MAIstudent;5033;4;1641578940;zzz
Новый 2022 год;Vitaliy_Tsal';2966;4;1641578940;zzz
Физтеховская открытка;zzz;2642;3;1640790360;zzz
Баллы за олимпиадное программирование за осень 2021 г.;alex12345;3762;2;1640512860;zzz
Рой беспилотников;papey;4060;6;1639663500;pzh
Казус2;Mangeon Dusterr;2146;2;1639400640;zzz
Казус2;-;45769;63;1638385800;zzz
Казус;teror333;3401;3;1637906940;zzz
MS Teams ...;zzz;3555;3;1637143260;zzz
Фидбек: отзывы и пожелания по информатике на I курсе;DungeonMaster;10924;10;1634389440;SegmentationFault
Внезапно: дистанционка на лекциях с 13 октября 2021 г.;zzz;1831;1;1634101680;zzz
Десятка лучших программистов I курса 2021/22;zzz;2968;2;1632830580;zzz
Схема для КП-2;fishBrains;2004;1;1632290940;fishBrains
Практика I курса по кафедре 806;zzz;9241;12;1631008860;zzz
3 месяца на пересдачи летней сессии!;zzz;2053;1;1625591280;zzz
Приём рейтингового зачёта по ЯМП, июнь 2021;zzz;16518;19;1623312660;zzz
Летняя практика по олимпиадному программированию;egorb;2854;2;1622841120;zzz
График приёма рейтинговых зачётов в начале июня 2021 г.;zzz;3747;2;1622841120;zzz
Рейтинг и внезапно дистанционка!;rexarrr;4517;5;1622286120;Yyyyy
С и Паскаль;Mangeon Dusterr;3051;3;1621411860;zzz
Исповедь;KonstantinVodnik;2131;1;1620162720;KonstantinVodnik
Признание;Егор;3779;1;1620133440;Егор
Летняя практика;DungeonMaster;22111;25;1593514920;zzz
Бонусные баллы;EngineerXL;26923;34;1593022140;zzz
Экзамен 24.06;DAZheleznov;6181;6;1592856660;zzz
Микрофоны и спикеры;min0s;3061;2;1592856660;zzz
Бонусы за весенний семестр 2019/20 у.г. Сдача рейтинга на "5".;zzz;10189;11;1592546940;zzz
Решение задачи под камерой;zzz;2538;1;1592546940;zzz
Летняя сессия 2020;DungeonMaster;7923;9;1592539620;zzz
Правила дистанционного экзамена;zzz;13757;15;1592535960;zzz
Наличие веб-камер и микрофонов;zzz;6094;6;1592489100;zzz
Вопросы к экзамену. Весенний семестр. 2014-2020 гг.;zzz;15879;8;1592485440;zzz
Записи лекций;DungeonMaster;8256;8;1592218920;zzz
Оформление журнала летней практики;Limondero;15335;17;1591110360;zzz
Тренировки первого курса;EngineerXL;6104;6;1590595620;zzz
Вопрос о прикрепленной кафедре.;Edward Joseph Snowden;20040;22;1588965000;zzz
Иные олимпиады;EngineerXL;9434;11;1587967740;zzz
Летняя практика по кафедре 806 для групп 106, 7 и 8;zzz;6822;7;1587802260;zzz
Программа преобразования выражения в дерево;zzz;2697;1;1584716760;zzz
Пересдача лето 2019;Helloworld;25994;29;1584382140;zzz
Летняя практика ФИИТ;DataMiner;2779;2;1584010920;zzz
Олимпиадные тренировки весной;my_GF_pizza_Iz-treski;4346;4;1583701920;zzz
Пересдача экзамена за осень 2019 г.;zzz;2322;1;1583313120;zzz
Экзамен по ЯМП (весна 2019) и пересдачи;axolotl;4469;4;1581167040;zzz
Актуальное расписание лабораторных работ;EngineerXL;5679;5;1580990580;zzz
Результаты экзаменов по ФИ, январь 2020 г.;zzz;4030;3;1580310360;zzz
Зимняя сессия 2020;DungeonMaster;19182;21;1580310360;zzz
Дипломы за олимпиаду или другое подтверждение;EngineerXL;2690;2;1580231280;zzz
Рузультаты защиты КП по ВС, декабрь-январь 2019/20 уч.г.;zzz;2033;1;1580231280;zzz
Результаты рейтингового зачёта по ВС, декабрь-январь  2019/20 уч. г.;zzz;2163;1;1580231280;zzz
Проверка экзамена в гр. 4 и 12 (16 января);zzz;11224;13;1579543740;zzz
Баллы за олимпиады по программированию;EngineerXL;21677;23;1579273560;zzz
Цитата в методичке;DataMiner;4581;4;1579201800;zzz
Консультации в январе 2020;Silura;6607;7;1579194480;zzz
Опечатки;DungeonMaster;2790;2;1579007040;zzz
Результаты зачёта;Limondero;3728;3;1578546480;zzz
Место и время зачета;Grozniy_toaster;6853;7;1577714700;zzz
Требования для допуска к зачёту;Limondero;8052;8;1577354460;zzz
Осенняя десятка лучших программистов курса 8 декабря 2019 г.;zzz;2630;1;1575810240;zzz
Осенняя олимпиада I курса МАИ по программированию (2019 год);zzz;2109;1;1575543720;zzz
Материал для 2 задания КП по 320 кабинету;Limondero;4227;4;1575374580;zzz
Олимпиадное программирование по пятницам;Pablo;3728;3;1573992180;Pablo
Материалы к ЛР № 5 (2011 г.);zzz;25167;6;1572174120;zzz
Бейкер-стрит;zzz;2244;1;1571594940;zzz
Распределение лабораторных работ I курса по компьютерным классам (осень 2019);zzz;4346;2;1567789680;zzz
Перевод с ПМ на ПМИ;Ubermarginal;3210;2;1566824640;zzz
Учебная практика групп 106-108;zzz;2572;1;1561745340;zzz
Фунд. информатика: пересдачи за январь 2019;zzz;45756;50;1561208640;zzz
Баллы за олимпиаду;Ubermarginal;3407;2;1561035840;zzz
Консультации к экзамену в июне 2019 г.;zzz;3054;2;1560776640;zzz
Актуальный конспект лекций;default_student;7442;5;1560618480;Chelovek
Результаты кр по bash;swimmwatch;3617;3;1559912640;zzz
Дискретный анализ на пм;gb;3878;3;1559074260;gb
Олимпиада I курса по программированию (весна 2019 г.);zzz;4275;3;1558717680;zzz
Перенос олимпиадных тренировок весна 2019 г.;zzz;2648;1;1551787380;zzz
Весна 2019 г.: уточнённое распределение групп I курса 8 факультета по учебным лабораториям;zzz;3069;1;1549544640;zzz
Консультации в январе 2019?;Георгий Туманов;7083;6;1547895720;zzz
Сдаётся отличная однушка рядом с МГУ;mich13;2631;1;1547500320;mich13
Рейтинговый зачёт;zzz;5315;3;1545991260;zzz
Десятка лучших программистов курса (2018/19);zzz;7617;5;1541775960;zzz
Кто оставил зарядник? И кто забыл флешку???;zzz;3280;2;1541603160;ЭтоЯ
Материалы к ЛР № 8 (2011 г.);zzz;13016;3;1540904640;zzz
Удобная разработка на C++ & Linux;maxspT;4704;2;1539003840;AmDer
Материалы к ЛР № 3 (2011 г.);zzz;15502;3;1537272180;zzz
Поехали-2018!!!;zzz;3446;1;1536135060;zzz
Дни знаний 2018;zzz;2361;1;1535648880;zzz
Собрания по практике 30 июня 2018 г. ...;zzz;4605;3;1530947400;zzz
Экзамены 26-28 июня 2018 г.;zzz;4232;3;1530119280;zzz
Консультации к экзаменам 26-28 июня 2018 ...;zzz;2339;1;1529914260;zzz
Бонусы за олимпиады в весеннем семестре 2017/18 уч. года;zzz;2938;1;1528027380;zzz
Весенняя олимпиада 1 курса по программированию 2018 г.;zzz;2582;1;1524852540;zzz
Ещё одна пересдача за осень 2017;zzz;4611;3;1524571380;zzz
Структурный сериал для чайников и домохозяек на 3 дня с приложением дискеты;zzz;3016;1;1521731160;zzz
Чай, кофе, ...;zzz;2966;1;1519552860;zzz
Консультации к экзаменам, январь 2018;zzz;3044;1;1516190580;zzz
Десятка лучших программистов курса. Сезон 2017/18;zzz;15308;11;1514207040;zzz
Осенняя олимпиада 1 курса 2017 г.;zzz;3718;2;1512576420;inaia
Посещаемость занятий;rach;20664;2;1512471720;zzz
Пересдачи за II семестр 2016/17 уч. года;zzz;4861;3;1511975280;zzz
Учебный план ПМ 2017;Tolik001;8343;6;1510647060;zzz
Анонс лекций по курсу "Вычислительные системы";zzz;3822;2;1508861220;zzz
Учебники и л.р. (8й факультет) [В основном 106 группа];Alrott SlimRG;3619;1;1507756320;Alrott SlimRG
ФИИТ;trl;5416;3;1504120200;trl
Проживание;HardcorRush;3972;2;1503320640;zzz
Путаница с кафедрами;Pluser;7975;6;1502463960;zzz
Журнал по практике;Haxbrand;2937;1;1499871960;Haxbrand
Программы на С;xxx;5030;3;1498245000;xxx
Юрьев день;zzz;2874;1;1497103500;zzz
Лабы на Windows, выдумка? удобно ли?;maxspT;4967;1;1496650260;maxspT
где скачать компилятор си?;Crab;18471;11;1496070360;cnp
Учебные планы;Диофант;4804;3;1495119960;zzz
