theme;author;views;messages;timestamp;last_editor
Зарядник  для ноута ...;zzz;5,069;3;1348765680;zzz
забыл электронную книгу;amiD;4,937;3;1348682940;amiD
Практика;Nazomg;17,361;13;1348600200;Havoc
Поздравление;zzz;3,895;2;1348592880;Hibert2409
практика;rewad;3,805;2;1347653460;zzz
Потерял пароль и логин что делать?;Левон;5,237;3;1347354720;Левон
Списки групп 8 факультета. Приём 2012 г.;zzz;18,322;9;1346436540;zzz
Предварительное расписание занятий I семестра 2012/13 уч. года;zzz;3,171;1;1346331840;zzz
Практика, практика..;CreepyCake;37,213;25;1345831740;zzz
Бумага для принтера LA-120;zzz;4,217;2;1342253460;zzz
Бумага для принтера LA-120;-;10,866;8;1342195620;zzz
дата переэкзаменовки;Angelique;8,686;6;1341432660;zzz
Прием у должников из 08-101;mnk;2,812;1;1339261680;mnk
Распределение по кафедрам;Nazomg;9,945;6;1338801120;zzz
Программа передач;zzz;3,927;2;1338289320;AlborTholus
Методичка по практикуму (весна 2012 г.): задания VI-:-IX;zzz;4,301;2;1338210240;Angelique
Майские праздники 2012 г.;Romantik;6,082;4;1336205460;zzz
Лекция по ЛР 25-26 2 мая 2012 г.;zzz;2,999;1;1335783720;zzz
Материалы к ЛР № 25 и 26 (2012 г.);zzz;7,772;1;1335290940;zzz
История: БРС;zzz;3,798;2;1334290020;JeeTT
Компания 1С;xcpilot;7,307;5;1332695280;zzz
Финальный номер по дискретной математике.;Ecialo;3,908;2;1332619860;JeeTT
VK API на Python;Alex33393;4,345;2;1332619860;JeeTT
Задание VI по КП 2012 г.;zzz;3,027;1;1331050020;zzz
Вопросы к зачёту по лабораторной работе № 21.;zzz;3,773;1;1330970940;zzz
Простые примеры по LaTeX'у;beat;4,244;1;1330935060;beat
Пересдачи экзамена за осень 2011 г.;zzz;9,629;7;1330798140;zzz
Материалы к ЛР № 22 (2012 г.);zzz;6,841;1;1330794480;zzz
Архитектура компьютеров. Часть II. Вопросы к зачёту. II семестр 2011/12 уч. года.;zzz;3,321;1;1330711740;zzz
Вот это да... (для тех кому мало);xcpilot;4,081;2;1330330260;JeeTT
Лекции по циклу дисциплин "Информатика", 8 факультет, 1 курс,  2011/12, уч. год;zzz;7,982;4;1329844080;zzz
Скончался автор физтеховского учебника по матанализу;zzz;3,105;1;1329642720;zzz
Предварительное расписание занятий I курса на весенний семестр 2011/12 учебного года;zzz;7,350;5;1329498480;mnk
Итоги пересдач в январе-феврале 2012 г.;zzz;3,058;1;1327770480;zzz
Итоги сдачи экзамена в январе 2012 года;zzz;2,886;1;1327428540;zzz
Серьёзно про SSH;zzz;2,820;1;1327334820;zzz
Когда будет пересдача?;Тополь;2,763;1;1327180320;Тополь
Найдена флешка ...;zzz;5,516;3;1325174820;zzz
Консультация к экзамену и приём зачёта;zzz;3,051;1;1323597660;zzz
Материалы к ЛР № 13 (2011 г.);zzz;12,530;4;1323356760;avd
Материалы по КП, задания 3-4 (2011 г.);zzz;10,461;1;1322935740;zzz
Материалы к ЛР № 15 (2011 г.);zzz;7,854;1;1322751960;zzz
Материалы к ЛР № 11, 12 (2011 г.);zzz;11,307;1;1321207740;zzz
Найдена флешка ...;zzz;2,753;1;1320685680;zzz
Телефон ...;zzz;3,897;2;1320663720;Andrey93
Материалы по КП, задания 0-2 (2011 г.);zzz;8,624;1;1319972520;zzz
Материалы к ЛР № 10 (2011 г.);zzz;8,317;1;1319825340;zzz
Материалы к ЛР № 9 (2011 г.);zzz;9,953;1;1319818020;zzz
Где взять продолжение конспекта?;anonymous_;6,216;4;1319659860;zzz
Интерпретатор Машины Тьюринга  2011;NikRo;19,010;9;1318687500;avd
Печальная новость.Скончался Деннис Ритчи.;Герасин Борис;2,920;1;1318536660;Герасин Борис
К написанию реферата про терминальный класс;zzz;2,953;1;1317398820;zzz
Проблемы с распечаткой заданий...;Romantik;4,044;2;1316621220;zzz
Проблемы с распечаткой заданий...;-;110,409;70;1316433780;zzz
Списки групп I курса 8 факультета. Приём 2011 г.;zzz;5,375;1;1314803160;zzz
Количество групп на I курсе в 2011/12 уч. гг.;zzz;4,460;2;1314792180;Герасин Борис
Предварительное расписание занятий I курса на осенний семестр 2011/12 учебного года;zzz;13,754;7;1314695520;zzz
На осень 2011:  осталось 23 чел.;zzz;3,248;1;1311440880;zzz
Карлсон;zzz;2,942;1;1310800200;zzz
Интересующие вопросы;Denn;5,956;4;1309806600;Denn
Полное распределение 2011;zzz;2,923;1;1309788300;zzz
Распределение на кафедру 806 в 2011 г.;zzz;3,539;1;1309773660;zzz
Предварительное распределение;Gray_Angel;28,418;22;1309619160;zzz
плеер в терминалке;Vice_Versa;2,985;1;1308071280;Vice_Versa
Конспект лекций II семестр;zzz;18,021;12;1307481120;MadD
Весенняя сессия 2011 г. и её канун;zzz;8,300;6;1307376420;zzz
Смутная сортировка;zzz;3,465;1;1307282700;zzz
Замена лекционных занятий на олимпиаду 25 мая 2011 г.;zzz;2,774;1;1306256880;zzz
Мобильный телефон;yarrr;4,101;2;1305723840;yarrr
Программа передач на завтра;zzz;5,253;3;1305652080;zzz
Визуализаторы сортировок;WTH;5,977;4;1305205440;zzz
Лекции по ЛР 25-26 ...;zzz;2,720;1;1303221900;zzz
Творческий подход к различным методам сортировки;ToM_SoIeR;2,700;1;1302714480;ToM_SoIeR
Задания к ЛР № 23, 24 на 2010/11 уч. г.;WTH;2,820;1;1302160200;WTH
Примерные темы рефератов на II семестр 2010/11 уч. года;zzz;2,977;1;1300975500;zzz
Учебные планы;zzz;2,725;1;1299938700;zzz
II пересдача;zzz;7,722;6;1299510360;zzz
Advanced Bash-Scripting Guide | Shell, Шаг за шагом;UnL1M;3,937;2;1299283380;Donatello
Методичка по ЛР № 22 2011 г.;zzz;2,725;1;1299262140;zzz
Поточная консультация по VI заданию КП;zzz;2,619;1;1298800860;zzz
Задание VI по КП;zzz;2,725;1;1298138940;zzz
Лекции по ТеХу (ЛР№22) ...;zzz;2,731;1;1297947840;zzz
Летняя практика;VlaD;3,829;2;1297274940;zzz
Конспект лекций 2008, II семестр, начало;zzz;3,777;2;1297260300;anonymous_
Brainfuck на алгоритмах Маркова;zzz;2,853;1;1297083840;zzz
I пересдача, осенний семестр 2010 г.;zzz;15,354;12;1297015740;zzz
Предварительное расписание занятий I курса  на весенний семестр 2010/11 уч. года;zzz;7,159;5;1296734580;zzz
Предварительное расписание занятий I курса на осенний семестр 2010/11 уч. года;zzz;84,384;50;1296666480;zzz
Супер 13 лаба;Jazzman;10,712;8;1294448640;yarrr
Итоги экзамена 08-106, 108 2010 г.;zzz;3,837;2;1294333680;Gray_Angel
Итоги экзамена 08-101 -- 08-105 2010 г.;zzz;4,961;3;1294247280;zzz
Вопросы к экзамену 2010 г.;MadD;11,673;9;1294247280;zzz
Потерян черный футляр с очками;wddd;8,401;6;1293966120;Алекс
Дополнительный материал к КП1;zhtw;4,803;3;1293548760;zzz
Схема терминалки 2010 г.;zzz;8,810;6;1292771160;zzz
Методичка по ЛР № 15 2010 г.;zzz;5,042;3;1291471500;zzz
Методичка по ЛР № 13 2010 г.;zzz;7,217;5;1291291380;zzz
Методичка по ЛР № 14 2010 г.;zzz;2,859;1;1291215960;zzz
Методичка по IV заданию КП 2010 г.;zzz;2,700;1;1291129560;zzz
Методичка по III заданию  КП 2010 г.;zzz;2,810;1;1291125900;zzz
Методички по лабам;MadD;12,133;9;1291035840;zzz
Вопросы по курсовому;Crab;11,938;9;1290881340;zzz
Интерпретатор НАМ для MS DOS -- Win XP;zzz;9,092;7;1290107400;Kris
Методичка по ЛР № 11, 12 2010 г.;zzz;2,908;1;1289243400;zzz
Вопросы;DEMAGOG;20,680;16;1289239740;DEMAGOG
День технологий Microsoft для студентов;Scorpio;12,619;10;1288627620;yarrr
jdt2 версии 0.19;zzz;25,525;19;1288584420;DEMAGOG
Методичка по ЛР №10 2010 г.;zzz;3,708;2;1288436520;Gray_Angel
Методичка по ЛР №9 2010 г.;zzz;3,794;2;1288372080;yarrr
Вопросы к III зачёту 2010 г.;zzz;3,109;1;1288163400;zzz
Методичка по ЛР №7 2010 г.;zzz;12,658;10;1288004520;zzz
Методичка по ЛР №6 2010 г.;zzz;11,656;9;1287821460;Gray_Angel
Вопросы к II зачёту 2010 г.;zzz;5,718;3;1287735060;zzz
Методичка по ЛР №5 2010 г.;zzz;34,446;25;1287263520;Scorpio
Методичка по ЛР №8 2010 г.;zzz;2,845;1;1287248880;zzz
Книги;Artem;4,495;3;1287083400;Artem
Объявления;Tiw;10,721;9;1286978700;Gray_Angel
Файлы;DEMAGOG;8,558;7;1286892300;DEMAGOG
Эмулятор tu или tu4 для linux, дайте пож-ста.;MadD;21,348;15;1286129340;DEMAGOG
Пример ДТ;zzz;4,067;2;1286003400;zzz
Альтернативный диаграммер Тьюринга;zzz;6,710;1;1285693680;zzz
Методичка по КП, задания №1,2 2010 г.;zzz;5,190;3;1285682700;zzz
Вопросы к I зачету 2010 г.;zzz;20,009;15;1285164300;zzz
Экзамены;Elf;6,039;4;1284991500;zzz
забытая форма;Crab;3,705;2;1284743280;zzz
Пересдача по информатике;hawkE;3,650;2;1284724980;zzz
Машина Тьюринга;yarrr;4,944;3;1284660540;yarrr
Лабы на дому;Artem;7,034;5;1284563160;zzz
MacOSX;Artem;15,345;13;1284559500;Artem
Французский язык.;Gray_Angel;8,297;6;1284476760;zzz
Методичка по ЛР № 2 2010 г.;zzz;76,702;45;1284307620;zzz
Конспект первых лекций;zzz;20,934;15;1284106260;zzz
Социальная карта (метро);Lester;13,553;11;1283976660;yellowpuki
2 пересдачи в один день?;Димитрий;14,036;10;1283893920;zzz
Начало конспекта лекций;zzz;3,748;2;1283882940;DEMAGOG
Методичка по ЛР № 1 2010 г.;DEMAGOG;6,724;5;1283875620;DEMAGOG
Шпаргалка по BASH;avd;6,293;4;1283875620;Scorpio
Девятый парад московского студенчества;Gray_Angel;12,495;11;1283710140;yellowpuki
Контакты (1 курс 2010г.);Artem;32,634;26;1283699160;Kitsune
Методичка по ЛР № 3 2010 г.;zzz;2,631;1;1283691840;zzz
Бланк отчёта по ЛР;zzz;21,123;14;1283631060;brightstar
Сайт, форум (Создадим полноценный сайт/форум) 1 курс 2010г.;Artem;24,076;19;1283541000;Artem
Руководство по переходу на Ubuntu 10.04 LTS «Lucid Lynx»;Artem;2,504;1;1283411400;Artem
1 сентября 2010 г.: занятия в День знаний;zzz;13,294;11;1283314020;Gray_Angel
Группы;DEMAGOG;58,927;36;1283278140;zzz
Методичка по Emacs;zzz;2,667;1;1283278140;zzz
31 августа 2010 г.: собрание, расписание, группы;zzz;2,446;1;1282824180;zzz
III пересдача ...;zzz;2,396;1;1280254140;zzz
II пересдача ...;zzz;2,361;1;1279037220;zzz
Запись на пересдачу [8 июля 15:00] 24 чел.;diggl;28,666;23;1278504180;Пётр
Пересдача переносится на вчера?;zzz;2,671;1;1277827620;zzz
А что это....;White_man;3,564;2;1277230140;zzz
Компилятор к Си...;Gercog;7,379;4;1276120860;brightstar
Программа экзамена за II семестр 2009/10 уч. года;zzz;21,593;17;1276002240;zzz
Последние лекции и консультации к экзамену;zzz;26,501;21;1275765000;White_man
Конспект 2008 г. с. 243-424;zzz;9,087;7;1275559260;brightstar
Экзаменационные билеты.;FetchheLL;3,228;2;1274882700;FetchheLL
В субботу 22 мая 2010 г. ...;zzz;2,600;1;1274184180;zzz
Задания к ЛР № 20, 23 и 24 на весенний семестр 2009/10 уч. года;zzz;8,481;7;1273597680;zzz
Распределение по кафедрам на 1 курсе;White_man;14,306;11;1272970920;zzz
Конференция  Microsoft 2010;zzz;5,919;4;1272467160;White_man
Методички по ЛР № 21, 22 на 2009/10 уч. год;zzz;13,322;10;1271358600;Gercog
III пересдача ...;zzz;3,387;2;1266843840;zzz
Пример из лекции по shell 17.02.10 г.;zzz;4,785;3;1266512880;zzz
Предварительное расписание занятий I курса на весну 2010 г.;zzz;9,518;8;1265727960;РоманКР
Итоги пересдач;zzz;4,349;2;1265472420;zzz
Запись на I пересдачу экзамена 06.02.2010 суббота 15:00;zzz;12,083;10;1265220540;Daenur
Теперь запись не требуется ...;zzz;2,515;1;1264946700;zzz
Запись на I пересдачу экзамена 30.01.2010 суббота 15:00;zzz;39,023;29;1264770240;mingiyan
Ну как результаты...?;White_man;14,440;11;1263423720;zzz
Методичка к ЛР №11 и №12 2009 г.;zzz;6,154;4;1263233340;zzz
Конспект 2009 г. Стр. 46-123;zzz;4,529;3;1263060540;zzz
Ссылки на интересные материалы + ЛИТЕРАТУРА;ToM_SoIeR;2,676;1;1262985120;ToM_SoIeR
Расписание экзаменов;Андрей А;7,765;6;1262955840;zzz
Методичка к КП, задание №3;zzz;15,855;13;1261941000;White_man
Задание КП №4;zzz;5,201;3;1261674480;zzz
Задания 1-2 КП 2009 г.;zzz;22,228;18;1261242480;zzz
Задание на ЛР №15;zzz;2,521;1;1261055040;zzz
Методичка к ЛР №9 2009 г.;zzz;6,449;5;1257951960;zzz
Методичка к ЛР №10 2009 г.;zzz;3,003;1;1257505320;zzz
Методичка к ЛР №8 2009 г.;zzz;2,478;1;1256915160;zzz
Интерпретатор НАМ;zzz;9,552;7;1256317680;zzz
Методичка к ЛР№5 2009 г.;zzz;3,546;2;1255615500;White_man
Вики УМЦ-8 с заданиями к лабораторным работам;zhtw;2,410;1;1254866460;zhtw
jdt2 версии 2.0.18;zzz;18,926;16;1254424200;Fantasy1408
машина Тьюринга;lnex;14,361;11;1254323160;FetchheLL
UNIX машина: освоение.;Alexandr;44,746;28;1253894820;Utah_jazz
Методичка к ЛР№3 2009 г.;zzz;6,948;4;1253639280;zzz
Методичка к ЛР №2 (3-7 сентября 2009 г.);zzz;2,426;1;1251911280;zzz
Расписание консультаций;zzz;2,263;1;1244138940;zzz
программа экзамена 8-11 июня 2009 г.;zzz;3,271;1;1244138940;zzz
Не прошло и полугода ...;zzz;4,496;3;1239800640;zzz
Забытый на лекции телефон ...;zzz;5,385;3;1238853900;zzz
Клуб MAInfo.ru -- Заседание #000010;kichik;2,311;1;1223928660;kichik
Тест Тьюринга;zzz;2,331;1;1223906700;zzz
Пересдача № 3;Resnichka;5,201;4;1220803620;zzz
Пересдача № 3;-;3,731;2;1219684080;zzz
"Ужесточение" сессий;Kimbo;6,519;5;1214255520;Kimbo
перенос экзамена 18 июня;zzz;2,443;1;1213715160;zzz
премиальные баллы по информатике (весна 2008);zzz;2,255;1;1213546020;zzz
Консультации к экзаменам по информатике;zzz;2,352;1;1213538700;zzz
День информационных технологий в МАИ;kichik;2,418;1;1212001800;kichik
Аккаунты на сервер с фряхой;Shiz;8,097;7;1211098260;bender
Клуб MAInfo.ru -- Заседание #000008;kichik;2,356;1;1210719720;kichik
Российский финал Imagine Cup в ДК МАИ!;kichik;3,565;2;1208887740;Студентка
Хороший командный интерпретатор под Windows;zzz;3,350;2;1208887740;Студентка
UNIX+Windows=любовь!;zzz;5,753;4;1208772060;AlTi
Олимпиада по математике;zzz;2,422;1;1208271960;zzz
Клуб MAInfo.ru -- Заседание #000006;kichik;2,264;1;1207749900;kichik
Конференция «Технологии Microsoft в теории и практике програ;kichik;2,537;1;1206889560;kichik
Клуб MAInfo.ru -- Заседание #000005;kichik;2,240;1;1205884980;kichik
Стипендия;noname;3,392;2;1205424420;zzz
Математический форум отображает формулы в ТеХе!;zzz;3,814;2;1205262600;bender
Ричард Столмен едет в Москву!;zzz;4,347;3;1204909680;zzz
расписание на 11 марта;zzz;2,367;1;1204909680;zzz
Лекция по ТеХ (к ЛР № 22);zzz;5,163;4;1204053000;bender
Клуб MAInfo.ru #000004;kichik;2,349;1;1203811380;kichik
Задания на ЛР № 20, 21 ...;zzz;2,356;1;1202396760;zzz
Расписание на весну 2008 г.;Студентка;10,359;9;1202209320;Студентка
Пересдача по ЛА и АГ;J Dill;2,299;1;1201882020;J Dill
Пересдача информатики;L@merOk;4,237;3;1201712880;zzz
какая-то гадость;Shiz;9,548;7;1201255260;AlTi
зачеты;lexx;13,897;11;1200078600;bender
Консультации к экзамену;zzz;2,933;1;1199628300;zzz
вынос мозга;Shiz;4,426;3;1198861680;Shiz
Тьюринг;Kerosinko;11,548;10;1198656660;Kerosinko
Схема факультетской вычислительной системы;AntimozG;2,290;1;1197666720;AntimozG
В 438 ГУК "Б" найдены ключи;zzz;2,356;1;1197644760;zzz
Все задания практикума выставлены!;zzz;10,315;9;1197374580;Kerosinko
AXP6;zzz;2,334;1;1197220080;zzz
Клуб MAInfo.ru #DE0001 (000003);kichik;5,975;4;1196356080;kichik
нумерация КР и КП;Shiz;3,529;2;1196197920;kichik
Клуб MAInfo.ru #000002;kichik;2,483;1;1195672200;kichik
Семинар по технологии программирования;zzz;10,863;9;1195520640;US Marine
Материалы для рефератов и не только!;zzz;2,399;1;1195387380;zzz
Клуб MAInfo.ru #000001;kichik;2,398;1;1195034460;kichik
Песенка про пиво на 42 языках программирования;Shiz;2,488;1;1194887280;Shiz
Песенка про пиво на 42 языках программирования;-;47,713;40;1194624420;zzz
Зачет по информатике #2;kichik;2,531;1;1194203400;kichik
Ещё одна раскладка клавиатуры;zzz;8,594;7;1194044520;Shiz
День технологий в МАИ;kichik;2,295;1;1193951520;kichik
ностальжи;Shiz;3,376;2;1193933220;Nibinor
Аппаратная реализация архиватора gzip;zzz;2,501;1;1193843160;zzz
лекции по ТеХу;bender;5,686;4;1193659380;zzz
язык Си;Shiz;8,671;6;1193335740;Shiz
Как заработать на машинах Тьюринга;zzz;2,467;1;1193238360;zzz
Эмулятор машины Тьюринга;Iwish;18,658;12;1192911060;Kerosinko
Конспект материалов по практикуму;zzz;5,381;4;1192432200;zzz
Л.Р. №6;UnR1ValLeD;4,310;3;1192036080;UnR1ValLeD
Поздравление!;Студентка;5,643;4;1191067380;zzz
подключение по SSH к AXP3/5/6 через интернет;Shiz;4,474;3;1190480880;Shiz
думаю, лишним не будет...;raster@wa;2,485;1;1190437680;raster@wa
Руководство по ЛР 1, 2;zzz;26,549;20;1189512180;zzz
Расписание и списки групп 1 курса 2007 г.;zzz;12,648;11;1188486360;zzz
Пересдача в августе;Anastasia;7,953;6;1187978940;zzz
Заселение в общежитие 2007;TolicH;3,260;2;1187806140;zzz
Задачи по линалу;Frutella;2,332;1;1187035860;Frutella
Футболки с логотипом 8ого факультета;Alexander;4,703;3;1185966120;Пегас
ЯП на I курсе 2007;Уэнвартиэль;4,005;2;1185887040;zzz
6 августа 2007 г. Летняя практика.;zzz;6,179;4;1185800640;zzz
Пересдача по информатике;Alexander;21,759;18;1184162700;zzz
Лекции по культурологии;KoMnoT;4,078;3;1183561560;KoMnoT
Оценки первого курса и диплом;BlackDragon;11,237;6;1183197660;zzz
Итоги-2007;zzz;6,815;5;1183129560;Alexander
Культурология;GT;6,157;5;1183122240;BlackDragon
Пересдачи по МА и ЛА;Bomber pilot;5,234;4;1183032180;Kler
Пересдачи по МА и ЛА;-;8,091;7;1183018260;bender
Пара вопросов.;Bomber pilot;6,914;6;1182938460;123098
Терминальный класс;BlackDragon;9,109;7;1182596520;zzz
допы по инфе;asd;4,405;3;1182247260;asd
Допуск к экзаменам;Kler;6,378;5;1182247260;zzz
Экзаменационная программа по дискретной математике;bender;4,963;4;1182164520;Bomber pilot
На чем программируют на 2 курсе?;Bomber pilot;5,830;4;1181916300;zzz
Товарищи у кого есть билеты по матану? за 2007;BlackDragon;10,840;9;1181761800;Nevecap
Товарищи у кого есть билеты по матану? за 2007;-;5,546;4;1181649780; Гость
Товарищи у кого есть билеты по матану? за 2007;-;4,164;3;1181649780;123098
Перенос экзамена 08-105;zzz;2,323;1;1181567040;zzz
Консультации к экзаменам;zzz;3,255;2;1181567040;zzz
Лекции стр.228-279;graukin;5,225;4;1181423520;bender
Почему я не люблю TIFF и MS Office..;Melhesedek;3,399;2;1181423520;bender
Лекции стр. 312-331;bender;7,195;6;1181390580;Melhesedek
Перенос консультаций 08-106;zzz;2,299;1;1181326140;zzz
Перенос экзамена 08-108;zzz;2,310;1;1180962240;zzz
Фортран и рекурсия;NadinKa;4,919;2;1180775520;zzz
Лекции 392-421;chieftain;2,298;1;1180620300;chieftain
КР, КП, зачёт;Viktoria;12,301;8;1180612980;Nevecap
Коррекция экзаменационной программы;zzz;2,318;1;1180015500;zzz
Лекции 332-391;chieftain;8,141;7;1179831720;Nevecap
Вниманию гр. 08-103!;zzz;2,337;1;1179770940;zzz
Дискретка, help!;den;8,363;7;1179590820;raster@wa
XXV и XXVI лабораторные работы на Си;bender;6,225;5;1178730480;Kler
XXV и XXVI лабораторные работы на Паскале;bender;2,351;1;1178561340;bender
Студенту Потёмкину;zzz;2,461;1;1178215740;zzz
Студенту Потёмкину;-;19,919;17;1178193780;zzz
IX курсовая;bender;2,264;1;1178168880;bender
08-108 курсовая - матан;bill_gates;2,531;1;1178046600;bill_gates
Внимание группа 08-108!;chieftain;3,288;2;1178046600;bill_gates
24 лабораторная;graukin;23,861;20;1177531860;123098
Зачет по физ-ре;bender;27,127;23;1177265340;avsemenoff
Конспект лекций (278-311) и 23-я лабораторная;bender;2,348;1;1176930720;bender
7 и 8 курсовые работы;bender;2,332;1;1176296640;bender
Последняя лекция по физре...;bill_gates;4,325;3;1176217560;bill_gates
08-108 задание по английскому;bill_gates;2,310;1;1175893920;bill_gates
Товарищи у кого есть билеты по матану и курсовые по инфк 7+;BlackDragon;5,531;4;1175541000;Nevecap
Лекция по физ-ре;Nevecap;6,403;5;1175364540;Nevecap
Представление и обработка данных с регулярной структурой;bender;2,557;1;1175029920;bender
MikTex;Bomber pilot;6,674;5;1175007960;Melhesedek
функция send и размер фактически отправленных данных.;xaxa3217;6,290;5;1174917900;zhtw
freeBSD;GT;15,442;13;1174507860;Melhesedek
Miranda IM;Melhesedek;15,543;14;1174414140;raster@wa
Группе 108;bill_gates;2,334;1;1174327740;bill_gates
20, 21, 22 Лабараторные;BlackDragon;15,435;14;1174025340;DIZ
Практикум по информатике. Часть II;bender;2,383;1;1172934360;bender
Лекции стр.192-211;graukin;6,353;5;1172693460;Nevecap
Лекции 212-227;bender;2,255;1;1172678820;bender
Практикум I часть II семестр;elle;2,461;1;1172675160;elle
Допуск ко второму экзамену;KoMnoT;5,667;4;1172484060;zzz
III пересдача по информатике;zzz;2,484;1;1172081340;zzz
23 февраля;Alexander;12,768;10;1171965660;zzz
23 февраля;-;3,254;2;1171919520;123098
Задание по английскому;bender;2,268;1;1171796520;bender
LaTeX;Melhesedek;5,376;4;1171739400;bender
Раздача слонов и материализация духов;zzz;2,514;1;1171717440;zzz
Сканы;Ptm;2,241;1;1171393800;Ptm
Лекции по TeXу;zzz;2,463;1;1171116300;zzz
Обжим витой пары;Melhesedek;3,294;2;1170943500;Melhesedek
Обжим витой пары;-;6,914;6;1170943500;Melhesedek
Лабораторная 20,21,22;bender;2,319;1;1170860760;bender
Учебник английского;zzz;2,385;1;1169985780;zzz
Вопрос вопросов...;Пегас;5,460;4;1169985780;Пегас
Переэкзаменовки;Alexander;15,519;13;1169935260;Nevecap
Накопилась парочка вопросов по учёбе...;BlackDragon;37,005;26;1169895720;zzz
куча спама...;snicker;16,853;14;1169889120;GT
куча спама...;-;8,197;7;1169759520;Пегас
что тут у вас на первом курсе;Катя;6,251;5;1169744880;zzz
Закрытие сессии;Alexander;9,724;8;1169726580;bender
Сдали на 5;zzz;28,041;24;1169662140;123098
первая сессия...;raster@wa;44,795;41;1169658480;123098
Вопросы по экзамену по информатике;Пегас;7,633;6;1169471040;zzz
допуск к информатике;dron;3,560;2;1169373660;zzz
Лекции;bender;7,518;6;1169233800;Nevecap
Ошибка на стр. 28;zzz;2,455;1;1169031720;zzz
Лучшие программисты I курса по версии ACM;zzz;4,683;3;1168888200;snicker
Лекция по информатике, стр. 60-77;Nevecap;4,212;3;1168783500;Nevecap
Конспект, собранный в один файл.;PhanT0m;4,837;3;1168603380;bender
консультации и программа экзамена по информатике;NadinKa;6,511;5;1168603380;zzz
Курс лекций по информатике, стр 54-59;Nevecap;5,878;4;1168513320;Alexander
Экзамен и консультация по дискретной математике;bender;6,157;5;1168452540;raster@wa
Билеты по информатике;PhanT0m;2,413;1;1168441560;PhanT0m
Билеты по информатике;-;4,395;3;1168426920;BlackDragon
Опечатки в книгах по Линалу и Ангему Бортаковского;Nevecap;6,398;4;1168290720;snicker
Сдача экзамена без получения зачёта;KoMnoT;6,590;5;1168276080;KoMnoT
Шпоры по матану...;только одно сообщение;4,453;3;1168175040;bender
Вопросы к экзамену по дискретной математике;bender;7,664;5;1168175040;bender
Допск к экзаменам 2;Ptm;3,490;2;1167393780;zzz
Хороший материал для реферата;zzz;2,480;1;1167393780;zzz
Лабораторные работы 11 и 12;bender;8,040;7;1167289800;black_fox
ВСЕ ЛЕКЦИИ ПО ДИСКРЕ ХОРОШИМ ПОЧЕРКОМ;Дискретка;12,204;10;1167286140;black_fox
Писать по-русски;zzz;3,436;2;1166911260;raster@wa
лекции 172-191;GT;3,202;2;1166886360;bender
08-102!!;zzz;5,516;4;1166695260;Nevecap
08-102!!;-;6,199;5;1166562720;123098
08-102!;zzz;7,158;5;1166551740;zzz
Практикум;bender;5,194;4;1166367960;Nevecap
зачётные книжки;GT;6,244;5;1166349660;GT
проблемы с PuTTY;GT;4,767;3;1166162940;DIZ
вопрос про Pentium4;GT;4,395;3;1166022360;GT
Даты экзаменов;Sam;3,378;2;1165924980;zzz
Курсовая работа. Задания 3 и 4. А также ЛР 15.;BlackDragon;6,114;5;1165849560;bender
Информатика, стр 143-171;Nevecap;5,807;4;1165834920;GT
Экз. вопросы по линейной алгебре;Nevecap;3,052;1;1165766820;Nevecap
Экз. вопросы по линейной алгебре;-;7,601;6;1165597680;zzz
Бланки для курсового проекта и курсовой работы;bender;2,358;1;1165590360;bender
Тема для реферата КП: ТиниОС;zzz;2,836;1;1165316520;zzz
Помогите с 1-ой курсовой !;MAXimumPAYNE;5,352;4;1165266720;123098
Лабораторная работа № 14;bender;2,510;1;1164910140;bender
С Днем Рождения, Алексей Владимирович!;bender;4,673;3;1164827400;ANTITELA
Полезная инфа по инфе;Nevecap;2,466;1;1164744660;Nevecap
Полезная инфа по инфе;-;7,312;6;1164474480;123098
Конспект 124-143;bender;6,182;5;1164204300;Nevecap
13 лабораторная работа;Nevecap;2,372;1;1164136200;Nevecap
КП I-II: WANTED. DEAD OR ALIVE;bender;5,400;4;1163614140;bender
9-ая лаба чуть лучшего качества;Nevecap;13,541;12;1163535060;123098
Вопросы к III зачёту;zzz;3,187;1;1163527740;zzz
Поделитесь эмулятором Машины Тьюринга;Melhesedek;74,386;43;1163441340;zzz
jdt2 версии 2.0.19;zzz;6,661;5;1163279520;123098
День рождения принтера;zzz;16,187;12;1163279520;123098
Допуск к экзаменам;Sam;11,670;6;1163066460;zzz
Курс лекций по информатике, стр 108-123;Nevecap;2,385;1;1162840200;Nevecap
Курс лекций по информатике, стр. 78-107;Nevecap;6,407;5;1162551720;zzz
jdt2 2.0.18 установлен на axp3!;zzz;2,510;1;1162483620;zzz
10-ая лаба.;Nevecap;2,323;1;1162389900;Nevecap
7-ая лаба, если ещё кому нужна;Nevecap;2,305;1;1162113120;Nevecap
8-ая лаба по инфе.;Nevecap;2,297;1;1162113120;Nevecap
Опечатка в ЛР №9;zzz;2,382;1;1161886140;zzz
9 лабораторная;bender;2,338;1;1161810720;bender
Список вопросов к экзамену по МА;Sam;12,756;11;1161630600;ANTITELA
Вопрос по задачам на экзамене;BlackDragon;4,032;2;1161630600;zzz
Лабораторная работа №8;bender;6,436;5;1161525900;123098
Интерпретатор алгоритмов Маркова;bender;31,473;22;1161432180;PhanT0m
Интерпретатор алгоритмов Маркова;-;21,470;16;1161281340;zzz
День Web-технологий Microsoft в МАИ;zzz;19,291;17;1161249120;zzz
